,Administrative,Creative/Design,Customer Service,Data Science/Analysis,Education/Training,Environment/Sustainability,Finance/Accounting,Health/Medical,Human Relations,Information Technology,Legal/Compliance,Logistics/Supply Chain,Maintenance/Repair,Management/Leadership,Marketing/Sales,Production,Project Management,Quality Assurance,Research,Security/Safety,Technical/Engineering
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,2.6,NA,NA,1.0,NA,NA,1.0,NA,NA
2006,NA,0.5714285714285714,0.0,NA,NA,NA,NA,NA,NA,NA,6.0,2.0,-0.11111111111111116,4.0,-0.75,4.5,NA,NA,6.0,2.0,NA
2007,0.5,2.909090909090909,4.0,NA,-0.6666666666666667,NA,NA,NA,NA,NA,-0.2857142857142857,0.33333333333333326,2.28125,-0.19999999999999996,0.5,1.9090909090909092,NA,1.0,0.5714285714285714,1.0,-0.6666666666666667
2008,NA,-0.5348837209302326,NA,1.0,NA,2.0,NA,0.6666666666666667,NA,NA,-0.4,-0.75,-0.5142857142857142,NA,-0.33333333333333337,-0.9375,NA,0.16666666666666674,-0.5909090909090908,-0.75,NA
2009,NA,-0.44999999999999996,-0.7,NA,NA,NA,NA,-0.8,NA,NA,-0.6666666666666667,NA,-0.803921568627451,-0.75,NA,NA,NA,NA,-0.8888888888888888,2.6666666666666665,NA
2011,0.0,-0.7272727272727273,1.0,-0.5,NA,-0.16666666666666663,0.0,12.0,NA,NA,4.0,4.0,4.1,NA,-0.5,2.5,NA,-0.7142857142857143,9.0,-0.5,1.0
2012,0.6666666666666667,9.666666666666666,0.0,9.0,14.0,3.4000000000000004,2.0,10.384615384615385,2.5,NA,2.8,-0.4,-0.7254901960784313,9.0,14.0,-0.2857142857142857,1.0,5.0,6.1,-0.5454545454545454,3.5
2013,1.6,-0.5,2.1666666666666665,-0.5,-0.1333333333333333,-0.36363636363636365,NA,-0.20270270270270274,-0.8571428571428572,0.0,0.10526315789473695,7.333333333333334,10.214285714285714,-0.6,-0.4666666666666667,8.6,0.0,1.3333333333333335,0.295774647887324,7.4,-0.16666666666666663
2014,2.3076923076923075,1.875,1.526315789473684,2.4,0.7692307692307692,1.8571428571428572,2.6666666666666665,0.38983050847457634,2.0,7.0,2.2857142857142856,0.72,-0.07643312101910826,5.5,5.375,-0.33333333333333337,3.0,0.4642857142857142,0.25,1.5714285714285716,0.3999999999999999
2015,-0.4883720930232558,1.7608695652173911,0.25,-0.47058823529411764,-0.17391304347826086,0.6000000000000001,-0.5454545454545454,-0.6646341463414633,2.0,0.0,-0.02898550724637683,-0.06976744186046513,2.193103448275862,0.7307692307692308,0.23529411764705888,3.59375,-0.375,0.7317073170731707,0.4260869565217391,-0.05555555555555558,1.0952380952380953
2016,1.5,0.3385826771653544,-0.033333333333333326,1.0,0.05263157894736836,-0.6875,0.6000000000000001,0.09090909090909083,-0.11111111111111116,0.25,0.6268656716417911,0.44999999999999996,-0.3088552915766739,0.0888888888888888,0.015873015873015817,0.013605442176870763,2.2,-0.08450704225352113,0.2987804878048781,0.303921568627451,-0.2727272727272727
2017,0.018181818181818077,0.1941176470588235,0.2586206896551724,0.5555555555555556,0.8999999999999999,0.8,1.25,-0.23333333333333328,1.125,0.19999999999999996,-0.23853211009174313,-0.1724137931034483,-0.0031250000000000444,0.346938775510204,-0.484375,-0.2214765100671141,-0.4375,0.19999999999999996,0.04225352112676051,-0.32330827067669177,0.53125
2018,0.3928571428571428,-0.21674876847290636,0.46575342465753433,0.1428571428571428,3.894736842105263,-0.33333333333333337,-0.2777777777777778,0.5217391304347827,0.05882352941176472,0.25,0.3373493975903614,-0.02083333333333337,-0.3730407523510971,0.3181818181818181,2.0,-0.3706896551724138,-0.5555555555555556,0.05128205128205132,0.10360360360360366,0.2777777777777777,0.12244897959183665
2019,-0.10256410256410253,0.44654088050314455,-0.5420560747663552,-0.375,0.403225806451613,-0.45833333333333337,-0.8461538461538461,-0.37142857142857144,1.6666666666666665,-0.4,-0.07207207207207211,-0.17021276595744683,-0.10499999999999998,0.48275862068965525,-0.6363636363636364,-0.31506849315068497,0.75,0.29268292682926833,0.9877551020408164,0.017391304347825987,-0.6727272727272727
2020,0.6142857142857143,0.0608695652173914,2.36734693877551,2.5,-0.3448275862068966,5.923076923076923,16.0,9.045454545454545,-0.7083333333333333,0.6666666666666667,1.3883495145631066,1.7692307692307692,1.2569832402234637,-0.07751937984496127,1.7777777777777777,1.7200000000000002,2.7142857142857144,0.42452830188679247,0.4229979466119096,2.1538461538461537,4.166666666666667
2021,-0.504424778761062,-0.41393442622950816,-0.5212121212121212,-0.6,-0.5672514619883041,-0.33333333333333337,-0.8823529411764706,0.004524886877828038,-0.5,-0.7333333333333334,-0.6300813008130082,-0.5925925925925926,-0.4257425742574258,-0.5546218487394958,-0.5800000000000001,-0.5882352941176471,-0.46153846153846156,-0.4304635761589404,-0.4545454545454546,-0.6856368563685638,-0.6989247311827957
2022,0.6071428571428572,0.027972027972027913,-0.012658227848101222,-0.4285714285714286,0.22972972972972983,-0.33333333333333337,1.5,-0.6306306306306306,0.0,-0.5,0.25274725274725274,-0.022727272727272707,0.0862068965517242,0.2075471698113207,0.4761904761904763,0.125,-0.2857142857142857,-0.03488372093023251,-0.2671957671957672,0.3362068965517242,1.5
